NAME                                                           READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS                          IMAGES                                                                                                                                                                                                    SELECTOR
deployment.apps/llmops-temp-vdb-index-api-deployment           1/1     1            1           107d    llmops-temp-vdb-index-api           asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-temp-vdb-index-api:v1.8.1                                                                                              app=llmops-temp-vdb-index-api
deployment.apps/llmops-training-api-deployment                 1/1     1            1           107d    llmops-training-api                 asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-training-api:v1.8.1                                                                                                    app=llmops-training-api
deployment.apps/maxscale                                       1/1     1            1           107d    maxscale                            asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/maxscale:24.02.4                                                                                                              app=maxscale
deployment.apps/mcp-bundle-v2b-v582-proxy                      0/1     1            0           42d     proxy                               asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:custom_v1                                                                                           app=mcp-bundle-v2b-v582-proxy
deployment.apps/mcp-clinicaltrials-standby                     1/1     1            1           40h     code-serving-112                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:mcps                                                                                                app.kubernetes.io/name=mcp-clinicaltrials-standby
deployment.apps/mcp-hira-standby                               1/1     1            1           40h     code-serving-190                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:market_apis                                                                                         app.kubernetes.io/name=mcp-hira-standby
deployment.apps/mcp-nedrug-standby                             1/1     1            1           40h     code-serving-196                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:market_apis                                                                                         app.kubernetes.io/name=mcp-nedrug-standby
deployment.apps/mcp-openfda-standby                            1/1     1            1           40h     code-serving-127                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:mcps                                                                                                app.kubernetes.io/name=mcp-openfda-standby
deployment.apps/minio                                          1/1     1            1           107d    minio                               asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/minio:2025.7.23-debian-12-r3                                                                                                  app.kubernetes.io/component=minio,app.kubernetes.io/instance=minio,app.kubernetes.io/name=minio,app.kubernetes.io/part-of=minio
deployment.apps/minio-console                                  1/1     1            1           107d    console                             asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/minio-object-browser:2.0.2-debian-12-r3                                                                                       app.kubernetes.io/component=console,app.kubernetes.io/instance=minio,app.kubernetes.io/name=minio,app.kubernetes.io/part-of=minio
