target_priority_id,competitive_dynamics_id,source_view,strategic_market_id,product_name_kor,priority_rank,target_customer,source_type,source_evidence,raw_row_id,raw_column_ids,raw_product_name_kor_json,raw_value_json,raw_conflict_values_json,data_source_type,cd_definition_type,cd_brand_count,auto_fill_scope,auto_fill_metric,auto_fill_source,auto_fill_tie_break,precompute_status,source_file_version
tp_056,cd_013,IQVIA,strategy_010,모빌리아,4,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,57,"[""O""]","[""모빌리아""]",[null],[],IQVIA,filter_explicit,2,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_057,cd_014,IQVIA,strategy_011,악템라,1,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,54,"[""P""]","[""악템라""]",[null],[],IQVIA,ml_equals_cd_by_empty,26,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_058,cd_014,IQVIA,strategy_011,악템라,2,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,55,"[""P""]","[""악템라""]",[null],[],IQVIA,ml_equals_cd_by_empty,26,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_059,cd_014,IQVIA,strategy_011,악템라,3,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,56,"[""P""]","[""악템라""]",[null],[],IQVIA,ml_equals_cd_by_empty,26,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_060,cd_014,IQVIA,strategy_011,악템라,4,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,57,"[""P""]","[""악템라""]",[null],[],IQVIA,ml_equals_cd_by_empty,26,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_061,cd_015,IQVIA,strategy_012,페린젝트 + 베노훼럼,1,KHPA,raw_from_sheet,"시장정의 & Target R54 / col Q,R",54,"[""Q"", ""R""]","[""페린젝트"", ""베노훼럼""]","[""KHPA"", ""KHPA""]",[],IQVIA,collapse_pair,16,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_062,cd_015,IQVIA,strategy_012,페린젝트 + 베노훼럼,2,KCPA,raw_from_sheet,"시장정의 & Target R55 / col Q,R",55,"[""Q"", ""R""]","[""페린젝트"", ""베노훼럼""]","[""KCPA"", ""KCPA""]",[],IQVIA,collapse_pair,16,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_063,cd_015,IQVIA,strategy_012,페린젝트 + 베노훼럼,3,KPA,raw_from_sheet,"시장정의 & Target R56 / col Q,R",56,"[""Q"", ""R""]","[""페린젝트"", ""베노훼럼""]","[""KPA"", ""KPA""]",[],IQVIA,collapse_pair,16,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_064,cd_015,IQVIA,strategy_012,페린젝트 + 베노훼럼,4,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,57,"[""Q"", ""R""]","[""페린젝트"", ""베노훼럼""]","[null, null]",[],IQVIA,collapse_pair,16,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_065,cd_016,IQVIA,strategy_013,헴리브라,1,KHPA,raw_from_sheet,시장정의 & Target R54 / col S,54,"[""S""]","[""헴리브라""]","[""KHPA""]",[],IQVIA,ml_equals_cd_exact,13,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
